,zcr,ste,rms,peak,cent,rolloff,cen_eas,cen_wes,bak_sou,bak_nor,vic_sou,vic_nor,train
6326,-0.7730810212321597,2.125284431959543,2.167995748821597,1.2320876700442789,-1.377702676966732,-4.255189917392488,0,0,0,0,0,0,0
6327,-0.415863741874216,1.1616126649534129,1.3906475306090398,0.568089718395493,-1.4546676481441336,-3.806781652388773,0,0,0,0,0,0,0
6328,-0.0956520580522955,0.4452379022757931,0.6976570847821161,0.48869880508305424,-0.5747589358640836,-1.1286849071324236,0,0,0,0,0,0,0
6329,-0.1658871679471979,0.262363267830816,0.49636042537122393,-0.10312522237099792,-0.6027259741955081,-1.378212371404464,0,0,0,0,0,0,0
6330,-0.3229721449164419,-0.037392121595738285,0.13507138599691657,-0.2474725906393126,-0.5145479485139354,-0.39492592803543536,0,0,0,0,0,0,0
6331,-0.21573143948551585,-0.2430624838960909,-0.14280263666727927,-0.2474725906393126,-0.5757220977838401,-0.08610480888687118,0,0,0,0,0,0,0
6332,-0.18476757383292433,-0.22509902937478873,-0.11731553008146159,-0.18251632773189777,-0.31504407439792953,0.16218737090857469,0,0,0,0,0,0,0
6333,-0.2897426305575631,-0.20373077671507125,-0.08732818814873866,0.5320028523223568,-0.71091168685084,-0.00828188686143357,0,0,0,0,0,0,0
6334,-0.07148513851856575,-0.3547162815369758,-0.3074412429359159,0.5320028523223568,-0.06777596128460907,0.506831739878372,0,0,0,0,0,0,0
6335,-0.2859665493804178,-0.2270198383302188,-0.12002855440080706,-0.3485157196198637,-0.47221613519237965,0.2523631376999549,0,0,0,0,0,0,0
6336,-0.7081324249852611,0.10282194371157093,0.3095711949399076,-0.21860309778080356,-0.571989220978233,0.24865728427017267,0,0,0,0,0,0,0
6337,-0.7534453991110045,0.1798365939551298,0.4011689830072692,-0.11034259558562518,-0.8281103526910293,-0.07375196412092862,0,0,0,0,0,0,0
6338,-0.3758372813964759,-0.03476415158445645,0.13844252210219923,0.3010472935512065,-0.9276869900742741,-0.4826311258736279,0,0,0,0,0,0,0
6339,-0.006536542271666664,-0.34567202318414275,-0.2936761397668778,0.3010472935512065,-0.65270568021476,-0.018164162674187065,0,0,0,0,1,0,1
